COD SUJETO;SEXO;EDAD;TRATAMIENTO;SESION;RELATO;;;;;;;
S6NH;M;JOVEN;Sin higiene;T1;Juana se levanta para ir a trabajar la cama está hecha se toma su café se va para el trabajo va a su oficina se nota que tiene trabajo en la oficina,después se junta con los compañeros de trabajo eran 4 hombres y 3 mujeres. Después Juana se va al mercado, se compra su alimento, se va para la casa, en la parte de alimento era todo comida frutas, todo vegetariano. Después se va a correr, tipo tardecita. después se va a encontrar con un chico que conoció en Tinder en un restaurante. Después mira un video en el celular hasta que le agarren ganas de dormir, y se va a dormir.;;;;;;;
S6NH;M;JOVEN;Sin higiene;E2;Federico se levanta a las 7:30 en la calle Bacacay se levanta abre el armario y decide entre dos camisas una de rayas y una azul . Elige la segunda opción. Se va al baño, se lava la cara , se peina, se cepilla los dientes, después de eso, se hace dos tostadas y toma el mate. Después del desayuno camina dos cuadras, para tomar el tren que tarda 15 minutos masomenos. Cuando llega al trabajo, saluda a sus compañeros y se pone a atender llamadas. Cuando termina su día laboral , vuelve a saludar a los compañeros y se toma el subte para hacer el mismo recorrido. Se pone a descansar y a jugar a la PlayStation 4, ya que el día anterior se había descargado dos juegos. Uno de carreras y uno de aventuras. Los juegos lo aburren y se va a sentar frente a una ventana a tomarse un té .;;;;;;;
S6NH;M;JOVEN;Sin higiene;T2;Se levanta a las 7:30 y se dirige al armario para ponerse una camisa, una a cuadros y otra rayada elige la 2da. Después de eso va al baño, se lava la cara se cepilla los dientes se pone gel y se higieniza, Después de eso va a la cocina, se hace dos tostadas y toma mate. Cuando termina todo, va al trabajo. Va a la estación y camina 5 cuadras. El día está soleado. Después de eso llega al trabajo saluda a sus compañeros y atiende el telefono, Cuando termina su jornada laboral se va a su casa y se pone a jugar a la play a dos juegos. uno de autos y uno de aventuras. Después se va a tomar un té verde y se pone a leer un libro.;;;;;;;
S8NH;M;JOVEN;Sin higiene;E1;Juana se levanta a las 5:30 de la mañana, prepara todas sus cosas agarra su bolso y se va para el trabajo . Se toma un café antes. Se toma el subte el trabajo queda en Recoleta. Llega a la oficina tiene 2 reuniones. a las 8:30 se toma otro café. Tiene una reunión con gente de productores ejecutivos de toallitas femeninas LadySoft. Después de eso pide comida por delivery. en su hora de descanso almuerza, una vez que termina su jornada laboral pasa por el supermercado, compra lácteos, y un par de cosas más y paga en efectivo. Una vez que llega a su casa, se pone su equipo de gimnasia, escucha música alegre, sale a correr y hace su mismo recorrido. Después tiene una cita con alguien que conoció por Tinder, y alrededor de la medianoche se acuesta a dormir, revisa sus redes sociales, y después de 30 minutos logra conciliar el sueño.;;;;;;;
S8NH;M;JOVEN;Sin higiene;T1;Ana se levanta muy temprano, en la primer imagen se ve su departamento hay mesas silla televisor, una ventana, por la ventana se ven edificios, una mesita ratona un sillón, todo es muy blanco. Se levanta temprano se prepara un café y se va al trabajo. Agarra su bolso, va al trabajo, cuando llega recuerda que tiene dos reuniones, en el trabajo se ven los escritorios y dos sillas, los cuadros un sillón de espera y la puerta. Luego va a la reunión ,en la reunión hay 5 o 6 personas. Después de la reunión pasa por el supermercado, en la góndola de los lácteos compra cosas que necesita para la casa y paga en efectivo. después de eso, se iba a su departamento, se vestía de gimnasia y salía a correr, se ponía música y se la ve a ella corriendo por la vereda, tenía puestos auriculares, una calza negra, y una remera naranja. Después de eso, se va a una cita con una persona que conoció por Tinder, se va a un bar con mesitas en la vereda, medio rústico, y después de eso se va a su casa a dormir.;;;;;;;
S8NH;M;JOVEN;Sin higiene;E2;Luego de una noche tranquila durmiendo plácidamente Federico se levanta a las 7:30 se dirige al baño para higienizarse,primero se dirige a su armario y elige una de sus camisas una azul a cuadros y luego va al baño para higienizarse, se lava los dientes y se peina con gel. se prepara un desayuno, un café con leche con tostadas con dulce de leche y a eso de las 8 sale para su trabajo. Camina unas 5 cuadras hasta la estación de Caballito, el día está soleado pero un poco húmedo, camina hacia el final del andén y el tren tarda unos 15 minutos en llegar. Luego llega a su trabajo se prepara un café enciende su computadora y empieza a contestar las llamadas. Luego de su jornada laboral, se va regresa a su casa, saluda a sus compañeros y regresa a su casa y decide limpiar el patio. Después de limpiar el patio se sienta en el sillón a jugar a la play 4, porque la noche anterior se había descargado dos juegos uno de carreras y otro de disparos mientras piensa que va a comprar para cenar. Se aburre y se sienta en el escritorio a leer un libro en un lugar fresco.;;;;;;;
S8NH;M;JOVEN;Sin higiene;T2;Federico se levanta a las 7:30, 8:00 , en la imagen se lo ve muy cómodo, contento , relajado, se viste para ir al trabajo elige una camisa a cuadros se ve una imagen con un vestidor con espejo todo muy blanco, camina 4 cuadras hacia la estación de Caballito y se ve la imagen de la estación de caballito . Espera el tren aproximadamente 15 minutos y viaja hacia el trabajo. llega al trabajo saluda a todos sus compañeros, vuelve a la casa , decide jugar un rato a la play, a unos juegos que se había descargado la noche anterior uno de guerra y otro de futbol, se aburre rapido y se sienta a leer un libro, y se ve la imagen de él sentado frente a un escritorio donde entra un poco de luz. y se acuesta a dormir.;;;;;;;
S9H;F;JOVEN;Con higiene;E1;La chica vive en la calle Charcas en un departamento en el 4to piso, se levanta toma un café con leche y tostadas , se arregla y se va a tomar el subte para ir al trabajo que queda en Recoleta, tiene que hacer unos llamados antes de empezar a trabajar que es llamar al diseñador gráfico , y a los proveedores. 8:30 empieza a ver los mails que tenía atrasados y cuando termina se reúne con la jefa, tiene una reunión para el lanzamiento de un nuevo producto, de la marca Lady Soft de toallitas femeninas. Pide delivery, come, al finalizar la jornada laboral va al supermercado compra lácteos y verduras que le hacían falta, paga en efectivo. se va a la casa, agarra la ropa deportiva música alegre una botella de agua y se va a correr, 40 minutos. Vuelve se baña, y se va a una cita que había quedado en la calle Tacuarí. Se sienta en la barra, espera a la cita, vuelve a la casa a medianoche, lee el libro el psicoanalista, chequea las redes sociales y luego de media hora le agarra sueño.;;;;;;;
S9H;F;JOVEN;Con higiene;T1;Lo que me acuerdo es que la chica vivía en un cuarto piso en un departamento en la calle Charcas, desayunaba se bañaba se iba a tomar el subte en la línea D, se bajaba en facultad de medicina que era su trabajo, llegaba, tenía que tomarse un cafecito, chequeaba los mails, llamaba a unos proveedores, iba a una reunión con la jefa, después se fue a una reunión con los compañeros por un nuevo producto que iban a lanzar de la marca de toallitas femeninas LadySoft. Después pedía delivery para almorzar, comía, después del trabajo se volvía a la casa, se duchaba se ponia ropa deportiva música alegre y se iba a correr por 40 minutos. Volvía , se bañaba y se preparaba para ir a la cita que tenía en el centro, tomó una cerveza en la barra, volvió a la casa a medianoche leyó un libro y a la media hora se durmió.;;;;;;;
S9H;F;JOVEN;Con higiene;E2;Federico vive en la calle Bacacay en el barrio de Flores. Se levanta a las 7 30. Elige que camisa se va a poner, la azul a cuadros o la rayada de colores , va al baño se cepilla los dientes se higieniza, desayuna mate con dos tostadas con queso y dulce de leche. Alrededor de las 8 sale a la estación Caballito, llega se camina hasta el final del andén espera 15 minutos toma el tren y se dirige al trabajo que queda en la calle Saavedra en el barrio de Once. Llega , se prepara un café saluda a sus compañeros, prende la computadora y se pone a hacer llamados. Después sale del trabajo, se toma el subte para ir a la casa llega a la casa se pone a jugar a la play, con los dos juegos que se descargó el día anterior, se pone a pensar que va a cenar, como el juego lo aburre se sienta al lado de la ventana a leer un libro y a tomar aire fresco.;;;;;;;
