Sujeto;Texto
L6H;"La chica se levanta de su dpto despues de haber descansado bastante bien, desayuna dos tostadas con manteca y mermelada de frutilla y un cafe. Luego va a la oficina empieza a responder llamados pendientes luego tiene una reunion con la jefa y presentan un producto nuevo el lanzamiento de lady soft para toallas femeninas para mujres, despues va a su casa se cambia la ropa hace un entrenamiento de unos 40 min como lo hace en el recorrido habitual, lleva agua, luego tiene una cita por tinder en un bar de la calle Tacuari. llega a su casa lee el psicoanalista y se conecta a las redes sociales antes de dormirse. Hace la compra en el supermercado, compra lacteos y compra verduras. Agrego datos que me vienen a la mente; Ella vive en un 4 piso en la calle charcas en el barrio de palermo. O la oficina era ahi? ahora se me esta confundiendo. Luego toma el subterraneo la linea d de la estacion carranza para el lado de catedral."
L6H;Una chica se levanta en du depto despues de haber pasado una buena noche, desayuna dos tostadas con mermelada de frutilla y manteca y cafe creo despues se dirige a su oficina, toma el subte en la estacion carranza. Su depto esta ubicado en la calle charcas en el barrio de palermo. Llega a la oficina, responde mails tiene reuniones y luegon va al supermercado compra verduras y lacteos, tenia una cita por tinder, y luego regresa y antes de dormirse ve una serie o algo asi. La cita era en la calle tacuari. Me acorde de algo del trabajo que tenian que presentar un producto de toallas femeninas para mujeres.
L6H;Federico se levanta a las siete y media en su depto de la calle bacacay, abre el armario y no sabe que camisa ponerse esta entre dos opciones una azul a cuadros y otra a rayas. Luego va al baño, se peina se coloca gel para su cabello se lava los dientes y la cara . Va a la cocina y desayuna tostadas con queso crema y dulce de leche . luego se dirige a unas cuadras de su casa a la estacion caballito de tren y espera 15 min hasta que llega el tren. Su trabajo queda en once en la calle saavedra, llega a la oficina enciende la computadora y realiza llamadas telefonicas y despues que llega a su casa limpia el vidrio y se habia comprado los juegos nuevos de play numero 4 uno de carreras y otro de aventuras, pero como le aburren se toma un te verde y se lee un libro.
L6H;Federico se despierta en su depto ubicado en caballito, no se decide que camisa ponerse luego desayuna tostadas con dulce de leche y queso crema y se dirige a la estacion caballito de tren y va hacia once donde esta su oficina de trabajo. Ahi responde mails y llamadas luego va a su casa y mira la play 4 tenia dos juegos pero no lo entusiasmaron entonces termina leyendo un libro mientras se toma un te verde.
L7H;Juana se levanta despues de una buena noche de sueño a las 7, toma el desayuno cafe con dos tostadas con manteca y dulce de frutilla. despues de arreglarse baja y se dirige a la est ministro carranza donde toma el subte para ir a su trabajo para ir a recoleta. Primero se sienta a responder unos mails xq tiene una reunion con la jefa. en la reunion discute sobre el lanzamiento de unas toallitas femeninas, un nuevo producto . despues pide su almuerzo por delivery, cuando termina su jornada laboral hace comprar en el super, compr verduras, lacteos, paga en efectivo. Vuelve a su casa, se cambia, guarda sus compras se pone la ropa deportiva y se va a hacer 40 min de actividad fisica que hace siempre me le mismo recorrido. Vuelve a su casa y se prepara para una cita que hizo por tinder en un bar de la calle tacuari. Vuelve a su casa despues de la medianoche, lee el libro el psicoanalista, revisa sus redes sociales y despues de media hora se duerme.
L7H;Juana se levanta no me acuerdo si era 7 o 7 y media toma el desayuno con cafe dos tostadas con dulce de frutilla, creo que despues se bañaba no me acuerdo, se prepara sale a su trabajo toma el subte a la estacion carranza y el trabajo de ella es en recoleta. cuando llega responde los mails antes de una reunion con su jefa que era por el lanzamiento de un nuevo producto cuando termina de trabajar va a su casa se pone ropa deportiva sal a hacer act fisica haciendo siempre el mismo recorrido. cuando vuelve se prepara para una cita que tiene por tinder que era en un bar de la calle tacuari, despues vuelve cerca de la medianoche, lee media hs, que no me acuerdo mencionaba el libro pero no me acuerdo y se va a dormir.
L7H;Federico se despierta a las siete y media de la mañana despues de una buena noche de sueño, se fija que es lo que se va a poner y tiene entre las opciones una camisa azul con cuadros y una rayada y elige la segunda. Va al baño, se higieniza, se peina, se pone el gel se lava los dientes. Despues se va a la cocina pone la pava electrica para el mate, y se repara tostadas con queso crema y dulce de leche. despues sale de su casa que no se va con la camisa que eligio, se va con remera negra. el depto esta en la calle bacacay del barrio de caballito despues camina hasta la estacion caballito que esta a 5 cuadras y el dia esta soleado pero humedo, se va al final del anden y a los 15 min se toma el tren llega a su oficina que esta en la calle Saavedra del barrio de once. Se sirve un cafe, saluda a sus compañeros, prende su computadora y empieza a hacer llamadas laborales. Cuando termina de trabajar vuelve a su casa y decide limpiar el patio despues se toma un descanso y juega a la play 4 que tiene dos juegos nuevos que se bajo, una de carreras y otro creo que de aventuras. Mientras tanto piensa que va a cocinarse para la noche. Se aburre del juego, y se va a leer un libro tomando un poco de aire cerca de una ventana.
L7H;Federico se despierta a las siete y media de la mañana despues de una buena noche de descanso, va al baño se higieniza, se lava los dientes y se va a la cocina a poner la pava electrica para hacerse el mate que desayuna mate con dos tostadas con queso crema y dulce de leche. Despues va a ver que es lo que se va a poner para salir a trabajar esta entre una camisa de cuadros azul y una rayada y finalmente se decide por la de rayas. Sale a trabajar es un lindo dia tiene que caminar 5 cuadras hasta la est caballito, el vive en la calle bacacay en caballito. cuando llega a la estacion va al final del anden, toma el tren para ir a su trabajo que no recuerdo la calle pero me parece que es en once. Cuando llega a su trabajo, prende su computadora, saluda a sus compañeros, se sirve un cafe y se pone a hacer unos llamados cuando sale de trabajar vuelve a su casa y decide limpiar le patio despues se pone a jugar unos jueguitos en la play 4, que son nuevos uno de carrera y otro de aventuras que cuando termina de jugar lee un rato un libro. Lo que me acuerdo fue que cuando salia en vez de ponerse la camisa que habia decidido se pone una remera negra
L8H;Juana se despierta a la mañana recuerdo su dormitorio, la cama, las frazadas, juana se levanta va a desayunar dos tostadas con mermelada de frutilla y se va a trabajar toma el subte en ministro carranza el subte la linea d se va a trabajar a recoleta. entra a su oficina donde hay varios sillones, mesa en el centro una oficina moderna y un cuadro de la torre eiffel recuerda que tiene q llamar a un proveedor y al diseñador grafico. Se sienta en la computadora, responde unos mails que estan pendientes toma un cafe y despues va eso lo hace antes de ver a su jefa. Al mediodia tiene una reunion de trabajo donde hay 4 mujeres y 2 hombres, sentados en unos sillones donde discuten una campaña publicitaria si no recuerdo mal de unas toallitas higienicas femeninas, no recuerdo el nombre despues se va de la oficina, ah no encarga su almuerzo en su horario de descanso despues va a hacer compras al super donde compra lacteos y verduras y algunas cosas mas que necesita, va a su casa deja las compras y se ve la cocina tambien muy moderna con una ventana de un lado una mesa al centro todo blanco, se saca la ropa deja las compras se pone ropa deportiva ys e va a correr elige musica divertida alegre y hace siempre el mismo recorrido creo que eran 40 minutos luego vuelve se cambia xq tiene una cita en el centro se arregla para ir a la cita va a un bar en la calle tacuari donde se sienta a esperar su cita y a media noche vuelve a su casa y se acuesta a dormir . Y recuerdo que cambiaron de Juana xq la inicial es rubia la otra es morocha
L8H;Juana despierta en su casa y en un depto muy moderno, se viste para ir a trabajar toma el subte en la linea Dno me acuerdo si era carranza.. Si. Y se la ve despues en la oficina trabajando contestando mails tomando cafe, despues tiene una reunion que se comunica con la jefa, despues tien una reunion con el grupo de trabajo. No, primero contesta unos mails a unos proveedores, despues tiene la reunion son todos muchachos en una sala de reunion sentados en uno sillones, creo que no todos me parece que hay algunas paradas. Luego cuando se va del trabajo se cambia para ir a correr y a caminar, sale a caminar vestida de ropa deportiva, va para una calle que me recuerda a paseo colon, tiene un muro con plantas, vuelve a su casa se cambia para ir a una cita, va al microcentro a encontrarse con una persona es un bar que tiene dos o tres mesas en la vereda con gente que esta sentada ahi, luego ella regresa a su casa, se acuesta, y recuerdo que la juana inical era rubia y la q se acuesta a dormir es morocha
